adiposity	adiposity.coefficient.of.variation	average.adiposity..liver.	average.fat.mass..liver.	average.lean.mass..liver.	average.total.mass..liver.	Body.Weight	Col.C22.6.	fat.mass	FFA.C14.0.	FFA.C16.0.	FFA.C16.1.	FFA.C18.0.	FFA.C18.1.	FFA.C18.2.	FFA.C18.3.	FFA.C20.1.	FFA.C20.2.	FFA.C20.3.a	FFA.C20.3.b	FFA.C20.4.	FFA.C20.5.	FFA.C22.4.	FFA.C22.5.	FFA.C22.6.	FFA.C24.4.	FFA.C24.5.	FFA.C24.6.	fibrosed.area	free.fatty.acids	free.fatty.acids..pre.bleed.	free.fluid	G.CSF	Glucose	Glucose..pre.bleed.	GM.CSF	Gonadal.Fat	GRAN	GRAN..	HCT	HDL	HDL..pre.bleed.	HGB	HOMA.IR	HOMA.IR..pre.bleed.	IFNr	IL.10	IL.12..p40.	IL.12..p70.	IL.13	IL.15	IL.1a	IL.1b	IL.2	IL.4	IL.6	IL.7	Insulin	Insulin..pre.bleed.	IP.10	KC	Kidney..left.	lean.mass	lesion.area	Liver...body.weight	Liver.collagen	Liver.Total	LiverHist	LiverLipids	LiverMetab	LiverNMR	LiverResidual	LiverRNA	LiverSpare	LYM	LYM..	M.CSF	MCH	MCHC	MCP.1	MCV	MIG	MIP.1a	MIP.1b	MIP.2	MONO	MONO..	MPV	phospholipids..liver.	PLT	RANTES	RBC	RBC.Time	RDW..	RDWa	Spleen	TNFa	total.cholesterol	total.cholesterol..liver.	total.cholesterol..pre.bleed.	total.liver.weighed	triglycerides	triglycerides..liver.	triglycerides..pre.bleed.	unesterified.cholesterol	unesterified.cholesterol..liver.	unesterified.cholesterol..pre.bleed.	VLDL.LDL	VLDL.LDL..pre.bleed.	WBC	WBC.Time
873	0.161678242287439	0.006779794	0.187385672	0.339666667	1.473	1.812666667	25.31	26.1856449383467	4.00461	NA	123.688126086363	19.3389633883112	29.6733479991293	686.873183161112	52.2666062756868	0.918201928060971	12.8371010869065	3.49129443534534	10.609309227472	37.7540525586583	261.151518101536	2.61988889898478	21.5979528422125	1.76479119609556	36.2090625963071	0.874950717549991	NA	NA	1.29681634	45	28	0.193897	197	186	170	0	0.365	2.2	26.1	38.3	60	10	13.3	2.14577294	NA	0	49.81	0	150	29.76	381	0	0	20.64	11.62	28.62	781	195	NA	261	1084	0.124	20.7644	334500	0.103911497	NA	2.63	0.15	0.16	0.22	1.84	0	0.09	0.17	5.8	67.5	0	14.4	34.8	133	41.5	108	44.62	165	0	0.6	6.4	5.9	8.7	335	61.52	9.24	15.67	18.6	28	0.174	10.19	1319	29.8	77	NA	275	59	120	410	3.2	26	1259	67	8.6	10.61
866	0.261529478589155	0.012939693	0.241503794	0.504666667	1.585	2.089666667	31.13	NA	8.23254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.402811749	95	52	0.324849	511	326	166	0	1.126	0	0	35.75	34	18	12.9	14.54203396	NA	0	0	0	0	0	0	0	0	0	0	6.54	38.03	754	NA	296	988	0.141	23.2459	297500	0.076035978	NA	2.367	0.18	0.177	0.15	1.52	0	0.1	0.24	0	0	0	14.75	36.2	0	40.85	85.18	34	0	0	0	0	6.05	NA	322.5	0	8.74	15.835	19.8	28.8	0.163	8.91	1251	NA	143	NA	579	NA	327	455	NA	37	1217	125	0	NA
865	0.4004914004914	0.008143262	0.217272607	0.471333333	1.698	2.169333333	34.67	NA	15.7295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.511356642	59	64	0.0578228	312	283	175	0	1.947	0	0	37.6	45	34	13.5	33.11684316	NA	0	0	0	0	0	0	0	0	0	0	0	0	1978	NA	247	1238	0.136	23.546	35500	0.087251226	NA	3.025	0.26	0.205	0.2	2.08	0	0.1	0.18	0	0	0	14.2	35.8	159	39.6	78.68	68.52	261	0	0	0	5.7	11.8	554	0	9.48	15.83	21.6	28.8	0.158	6.26	1218	34.1	203	NA	546	112	330	383	4.3	50	1173	169	0	NA
864	0.414658358690975	0.004593662	0.215712387	0.467666667	1.700333333	2.168	34.49	NA	15.9981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.122620079	68	72	0.0122912	79.92	321	209	0	1.321	NA	NA	NA	0	21	NA	41.038928	NA	0	0	0	0	19.79	0	0	0	0	0	0	9.98	2161	NA	252	509	0.132	22.5833	38000	0.092983473	NA	3.207	0.25	0.197	0.24	2.14	0	0.12	0.26	NA	NA	0	NA	NA	92.82	NA	62.45	0	165	0	NA	NA	NA	13.5	NA	0	NA	NA	NA	NA	0.154	8.91	1460	39.3	154	NA	928	112	517	483	4.7	43	1460	133	NA	NA
860	0.329062990360906	0.014605088	0.195424509	0.301666667	1.242	1.543666667	34.41	2.5634682741512	11.7436	NA	104.199469340591	18.3171350743138	17.32677485668	461.673907897485	NA	0.737323908299788	8.38527660894006	2.01229275225636	7.3546354520063	14.1939503255457	223.945548908427	1.68114812060616	9.65094363740084	NA	39.7534789448833	NA	NA	NA	2.772055108	46	64	0.103507	242	259	195	0	1.26	0	0	32.1	26	19	11.7	11.43075194	NA	0	23.91	0	0	0	0	111	0	0	0	0	0	746	NA	163	496	0.149	23.9444	57000	0.070880558	NA	2.439	0.18	0.199	0.22	1.53	0	0.1	0.21	0	0	0	14.5	36.4	142	39.8	74.03	39.4	0	0	0	0	5.8	13.3	353	30.4	8.07	15.87	17.7	25.5	0.167	0	544	26.9	236	NA	338	129	648	168	3.8	75	518	217	0	NA
859	0.329689197139754	0.009601042	0.231890757	0.345666667	1.145	1.490666667	34.29	7.67988131990464	11.6557	NA	89.8223524981547	14.2852441798732	17.7803944945433	507.884191654111	50.6746619146035	NA	7.36304020350529	1.87086593955888	8.01533445829402	13.8924340132531	243.242678031337	1.76047768105617	NA	NA	37.8997298169719	0.526136245071348	NA	NA	1.609037772	64	67	0.148966	550	279	198	0	1.398	0	0	30	35	22	11	13.13873277	NA	0	0	0	0	62.58	0	95.72	0	0	0	5.38	0	796	NA	253	911	0.144	23.6979	58000	0.073782444	NA	2.53	0.23	0.19	0.19	1.57	0	0.09	0.26	0	0	19.87	14.3	36.8	223	38.9	81.2	81.42	142	0	0	0	5.2	12.4	446	51.08	7.73	15.84	19.5	26	0.113	7.6	798	31.6	179	NA	443	122	441	266	3.7	48	763	157	0	NA
858	0.269946488097199	0.03309677	0.200628475	0.19	0.757	0.947	27.18	NA	7.78635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	55	0.124559	330	260	213	0	0.791	0	0	35.7	45	27	13.2	9.475241081	NA	0	0	0	0	62.58	43.44	168	0	0	0	0	0	616	NA	229	1141	0.129	21.0577	89250	0.060448859	NA	1.643	0.11	0.143	0.16	0.94	0	0.09	0.2	0	0	0	14.4	36.9	217	39.1	70.5	49.68	130	0	0	0	5.9	NA	162	41.77	9.14	15.85	17.6	24.6	0.108	6.26	878	NA	295	NA	281	NA	450	223	NA	79	833	268	0	NA
854	0.430117454208874	0.001987839	0.249719858	0.594	1.784666667	2.378666667	38.62	5.18925254803988	18.2624	NA	137.784792682029	21.3883733553256	24.4113007818311	545.002285966569	55.3853955950905	NA	9.73794383682201	NA	12.0662903984394	21.9220351309086	289.437591215192	1.8966734809236	NA	NA	49.9981787968356	0.857021281084279	NA	NA	1.647069434	49	72	0.0831984	244	237	216	0	2.705	2.8	27.6	34.2	0	20	12.6	24.87357274	NA	0	0	0	0	0	0	0	0	0	0	6.78	0	1774	NA	329	1268	0.146	24.1967	45250	0.087493527	NA	3.379	0.23	0.199	0.2	2.38	0	0.13	0.24	6.6	65	0	14.3	36.9	203	38.9	94.91	59.36	338	0	0.8	7.4	6.1	13.7	217	20.29	8.8	15.81	19.5	26.4	0.148	11.45	1790	42	267	NA	1498	127	694	649	4.5	91	1790	247	10.2	11.01
853	0.326552335272878	0.014471444	0.219151355	0.264	0.940666667	1.204666667	28.66	6.0069288927652	9.91841	NA	NA	21.9668775590284	21.0440225994545	532.637325485507	54.484501144049	NA	9.05637646706929	2.27598518095353	10.0587754301093	22.8677587800608	242.116265116719	NA	15.0281753885231	NA	39.8971825232652	0.666609508707224	NA	NA	1.281778925	51	61	0.0377465	347	239	173	0	1.514	1.7	28.6	29.1	42	22	10.7	17.05223925	NA	0	0	0	0	0	88.34	79.11	0	0	0	0	0	1206	NA	246	812	0.121	20.4547	45500	0.068039079	NA	1.95	0.15	0.18	0.17	1.2	0	0.11	0.14	3.9	64.8	0	14	37	398	37.9	63.2	54.59	138	0	0.4	6.6	6.2	12.8	56	46	7.68	15.81	18.5	24.8	0.113	6.26	1177	37.9	203	NA	616	115	557	382	4	64	1135	181	6	11.03
849	0.219141074090577	0.011403746	0.217480336	0.487666667	1.754666667	2.242333333	28.79	NA	6.37406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.263674627	41	65	0.221249	101	191	174	0	0.608	1.9	24.2	33.5	94	30	12.3	5.491687866	NA	0	0	0	0	19.79	0	0	0	0	0	5.84	0	486	NA	222	401	0.142	22.7125	24500	0.136505731	NA	3.93	0.25	0.2	0.22	2.23	0.7	0.1	0.23	5.5	70.1	0	14.1	36.7	0	38.4	47.42	0	98.03	0	0.5	5.7	5.5	12.6	414	18.95	8.73	15.83	20	26.3	0.183	6.26	1381	42.6	97	NA	809	100	228	578	5.1	29	1287	67	7.9	12.37
842	0.274590479780071	0.023899246	0.147805524	0.183666667	1.059	1.242666667	29.02	NA	8.80071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.326785934	47	62	0.317501	226	204	162	0	0.71	2	22.6	38.6	54	22	13.6	11.16369875	NA	0	0	0	0	85.68	0	119	9.75	20.64	0	0	0	925	NA	199	485	0.139	23.2496	83750	0.064610613	NA	1.875	0.12	0.155	0.14	1.22	0	0.1	0.14	6.5	70.9	0	13.8	35.2	0	39.2	71.39	64	122	0	0.7	6.5	5.9	10.7	215	0	9.84	15.75	19.2	26.5	0.11	4.9	793	34.7	220	NA	329	124	519	186	3.3	63	739	198	9.2	10.7
840	0.265848866811921	0.01783504	0.176068432	0.154	0.720666667	0.874666667	26.22	NA	7.09884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54	31	0.381875	303	277	182	0	0.687	1.7	16.4	36.6	45	15	12.6	16.58427498	NA	0	0	0	0	40.33	0	95.72	0	0	0	0	0	1012	NA	712	296	0.137	19.6037	25250	0.06136537	NA	1.609	0.11	0.169	0.14	0.91	0	0.09	0.19	8.2	78.1	0	13.9	34.6	62.87	40.2	185	68.52	0	0	0.6	5.5	5.7	NA	322	0	9.09	15.77	20.2	28.1	0.093	8.91	886	NA	148	NA	349	NA	271	241	NA	45	841	133	10.5	10.86
838	0.0863300204062424	0.054234154	0.13254877	0.069333333	0.453666667	0.523	19.66	36.5944979130059	1.72438	NA	78.6962778135063	8.99409762343462	24.8502540302118	574.528932356708	54.9317187739925	1.24425538068826	10.6176991567717	3.44126857213459	10.7566596421631	28.6697842819818	261.440576664718	2.19302007405003	NA	NA	32.8258208680548	0.891263802855002	NA	NA	1.356029914	40	42	0.473808	439	134	157	0	0.125	0.4	13.5	39.3	54	14	14.3	1.212920783	NA	0	0	0	0	0	0	141	0	0	0	0	0	153	NA	171	144	0.102	18.2499	290000	0.055035605	NA	1.082	0.1	0.162	0.1	0.51	0	0.1	0.11	2.6	82.8	0	14.8	36.4	0	40.8	56.7	0	0	0	0.2	3.7	5.6	13.1	389	17.59	9.63	15.8	17.7	26.4	0.115	0	666	41.4	146	NA	82	88	279	158	3.9	45	612	132	3.2	10.819
837	0.118781392076324	0.010488602	0.206875107	0.228666667	0.876666667	1.105333333	23.22	22.5211260868315	2.73829	NA	105.998973799753	17.5455204107568	32.9547974557198	727.875508129416	63.1724554434639	1.24361864034668	16.7892347681061	4.37143828908061	14.7908629788121	58.4814922172148	NA	3.19908060594418	33.5309622314053	NA	NA	1.76006901840809	0.673530982664655	NA	2.704828678	51	41	0.308501	279	216	169	0	0.26	1.4	22.1	33.5	41	9	12.5	7.654499201	NA	0	0	184	0	0	0	52.18	0	0	0	0	0	599	NA	228	442	0.117	20.3149	96750	0.079888028	NA	1.855	0.14	0.165	0.15	1.12	0	0.11	0.17	4.8	72.5	0	14.8	37.2	159	39.7	64.69	22.61	0	0	0.4	5.4	5.7	11.8	268	0	8.44	15.79	19	26.7	0.157	7.6	918	39.1	112	NA	353	84	316	274	3.8	35	877	103	6.6	10.85
836	0.19927786616953	0.015468745	0.25313178	0.511666667	1.509666667	2.021333333	27.27	NA	5.57985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.380160458	28	42	0.531401	236	162	143	0	0.451	1.1	27.2	39.3	48	19	13.7	9.737443057	NA	0	0	0	0	0	0	52.18	0	0	0	0	0	1016	NA	132	319	0.146	22.4205	1e+05	0.101210121	NA	2.76	0.22	0.21	0.19	1.8	0	0.11	0.23	2.8	67.9	0	14.5	34.8	0	41.8	37.43	28.41	0	0	0.2	4.9	5.2	10.6	397	17.59	9.4	15.78	19.3	28.9	0.197	0	758	37.6	110	NA	172	72	253	304	3.4	28	710	91	4.1	10.84
835	0.196177802881547	0.022862728	0.192609597	0.140666667	0.589666667	0.730333333	23.09	NA	4.41095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	34	0.00544357	279	338	178	0	0.472	1	30.5	36.6	39	10	13.4	40.17286872	NA	0	36.76	0	286	0	18.71	42.55	9.75	0	0	5.38	66.46	2009	NA	140	174	0.114	18.0735	251000	0.070116934	NA	1.619	0.13	0.179	0.16	0.76	0	0.1	0.29	2	62	0	14.3	36.6	0	39	58.26	22.61	0	0	0.2	7.5	6	NA	300	110	9.37	15.76	19.9	26.8	0.092	0	1135	NA	94	NA	534	NA	297	352	NA	32	1096	84	3.2	10.83
828	0.367338573759219	0.017298579	0.212143824	0.391333333	1.453333333	1.844666667	33.8	NA	13.6222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74	53	0.0985404	154	314	244	0	1.423	1.2	28.5	37.2	52	16	12.9	9.325445187	NA	0	0	0	0	0	0	0	0	0	0	0	0	502	NA	228	494	0.144	23.4613	119500	0.087218935	NA	2.948	0.2	0.178	0.2	2.06	0	0.11	0.2	2.7	62.5	0	15.7	34.8	0	45.1	72.27	49.68	157	0	0.5	9	6.5	NA	355	0	8.25	15.76	18.2	30.4	0.181	11.45	1117	NA	171	NA	450	NA	457	372	NA	49	1065	155	4.4	10.67
827	0.328659438691015	0.0086283	0.294437047	0.416333333	0.997666667	1.414	29.63	14.7118331925705	10.4188	NA	122.304849895884	19.1080945412536	29.5149045516794	593.536124369676	NA	NA	13.9197204708308	3.99214809246086	15.5107483031795	34.0475227956699	331.682415399321	2.29316047158727	26.5801727514222	NA	39.7567831450341	1.13712390395204	0.896775469644781	NA	1.949879796	43	29	0.121736	145	218	161	0	0.958	2.6	20.6	31.7	42	10	11.6	9.995267112	NA	0	0	52.51	0	0	125	61.46	0	0	0	6.78	0	775	NA	221	514	0.12	21.2821	97500	0.112993588	NA	3.348	0.29	0.168	0.22	2.32	0	0.12	0.23	9.3	72.9	0	13.7	36.5	0	37.7	76.45	0	0	0	0.8	6.5	5.9	14.3	261	0	8.43	15.75	20.2	26.3	0.171	4.9	1537	48	146	NA	539	110	287	565	5.6	47	1495	136	12.7	10.66
824	0.364456813713273	0.019213257	0.194991987	0.283	1.168333333	1.451333333	30.99	7.08153492470648	13.1609	NA	77.7389751979085	11.78372128055	24.5455391768235	509.288658640156	53.5043537708296	1.25918552758668	8.33301363421739	2.4758806934378	11.5598297590972	23.6802054441675	343.450411030923	1.91451764512369	12.7332174408717	NA	29.7293621350982	NA	NA	NA	0.672892088	44	37	0.0130813	379	217	158	0	1.058	1.4	19.6	38.4	75	22	13.1	5.931136485	NA	0	0	0	0	0	0	0	0	0	0	42.32	0	462	NA	209	118	0.115	22.9501	146250	0.067408842	NA	2.089	0.16	0.129	0.19	1.42	0	0.07	0.12	5.5	74.2	0	14.1	34.3	0	41.2	82.87	0	87.46	0	0.5	6.2	5.9	13	394	0	9.31	15.73	18	27	0.153	6.26	927	35.3	128	NA	193	132	230	216	4	39	852	106	7.4	10.63
823	0.407842702150086	0.007494471	0.278956336	0.448	1.158	1.606	34.16	2.91450212491989	15.4386	NA	92.0748047085808	18.9441532482379	19.3391349352238	537.453660332713	42.1158578578156	1.12673723340191	8.23058681639272	2.46052802482381	8.11500270167474	22.441612143949	233.468270164813	2.15368961956528	NA	NA	26.9319302696835	NA	NA	NA	1.152766643	86	43	-0.343866	463	271	191	0	1.226	2.3	15.7	40.2	60	20	14.6	15.9685263	NA	0	0	0	0	29.76	0	0	0	24.85	0	0	0	996	NA	223	513	0.141	22.4157	51875	0.073038642	NA	2.495	0.26	0.175	0.16	1.59	0	0.11	0.2	11.6	79.9	25.1	15.2	36.3	0	41.8	89.71	49.68	0	0	0.7	4.4	5.9	12.1	323	0	9.61	15.74	18.4	27.9	0.165	4.9	956	36.2	183	NA	594	135	398	293	3.7	58	896	163	14.6	10.68
821	0.152320159406686	0.038436968	0.15115684	0.086	0.483	0.569	20.75	NA	3.22286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	32	0.347628	407	266	153	0	0.214	2.4	17.1	41.4	65	8	14.2	10.46500621	NA	0	0	0	0	0	0	42.55	0	0	0	0	0	665	NA	137	365	0.108	17.9356	367750	0.054409639	NA	1.129	0.08	0.159	0.1	0.56	0	0.08	0.15	11.1	78.3	0	13.9	34.3	0	40.7	58.26	0	0	0	0.7	4.6	6.1	NA	372	17.59	10.15	15.86	17.9	26.6	0.103	0	1070	NA	118	NA	91	NA	179	249	NA	41	1005	110	14.2	10.75
820	0.10622980737094	0.004750177	0.354834156	0.856333333	1.557	2.413333333	20.13	NA	2.0024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	24	0.274002	284	165	156	0	1.194	1.9	17.5	40	48	8	13.7	3.797254925	NA	0	0	0	0	0	0	32.5	0	0	0	0	0	389	NA	191	566	0.1	16.8473	168250	0.088772976	NA	1.787	0.2	0.157	0.14	0.98	0	0.1	0.21	8.4	77.1	0	14.1	34.3	0	41.2	50.31	0	0	0	0.7	5.4	5.5	NA	339	0	9.69	15.92	18.7	27.6	0.111	0	817	NA	57	NA	138	NA	52	274	NA	15	769	49	11	10.71
818	0.356945688052007	0.00629517	0.225800408	0.362333333	1.242333333	1.604666667	35.64	NA	13.4742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.778435474	77	38	0.407285	317	294	181	0	1.454	1.3	18.7	38.9	49	27	13.6	19.44577886	NA	0	0	0	0	0	0	0	0	45.15	0	0	0	1118	NA	175	608	0.136	24.2744	94250	0.068911336	NA	2.456	0.2	0.188	0.17	1.578	0	0.14	0.18	5.6	75.8	0	14.8	35.1	25.79	42.1	45.73	54.59	0	0	0.5	5.5	6.3	12.6	513	25.48	9.24	15.88	18.2	27.4	0.151	0	1084	26.6	171	NA	420	151	363	312	3.6	49	1035	144	7.4	10.73
817	0.36942656311787	0.000598227	0.256273941	0.449333333	1.304	1.753333333	36.75	6.61712889268223	13.7331	NA	128.439655072784	25.8863373979506	25.4361532987834	591.716545031124	55.5168559203543	NA	12.3067814781525	3.10161538692309	13.1734214215902	39.8283662978939	363.31902503281	2.92779311689898	19.2160107610539	NA	41.8013726330017	1.00586251990255	NA	NA	1.865988922	143	36	0.0949777	115	567	167	0	1.506	2.1	27.7	40.5	0	37	14.8	64.43867952	NA	0	0	0	0	0	0	0	0	0	0	0	15.93	1921	NA	185	379	0.141	23.441	164000	0.071646259	NA	2.633	0.25	0.193	0.19	1.71	0	0.12	0.17	4.9	65.3	0	14.9	36.4	174	40.9	49.08	49.68	115	0	0.6	7	5.5	12.6	488	0	9.9	15.82	20.4	29	0.117	4.9	1612	37.8	255	NA	808	133	369	588	4	70	1612	218	7.6	10.68
809	0.268039485421697	0.013823576	0.157201256	0.214	1.147333333	1.361333333	26.41	28.7012528061808	8.203	NA	101.881525454299	10.8408923159046	26.4955889294931	554.65594291981	50.6589144593783	0.912113045419848	9.40411937341849	3.03102181247211	11.3593155425749	32.6279207606469	316.806484858694	1.82656484223821	21.540679964099	NA	33.6281267754107	1.04152395613754	NA	NA	1.151409411	42	38	0.439365	132	278	182	0	0.463	2	18.9	37.2	48	10	13.8	6.973436668	NA	0	17.71	0	0	51.31	0	0	0	0	0	0	0	424	NA	150	379	0.129	22.4007	211500	0.082090117	NA	2.168	0.18	0.148	0.16	1.34	0	0.1	0.24	7.9	73.2	0	14.3	37.2	244	38.5	62.64	22.61	186	0	0.9	7.9	5.7	13.6	455	0	9.65	15.82	20.2	26.5	0.103	6.26	1563	45.3	188	NA	536	102	383	454	4.5	68	1515	178	10.8	10.64
808	0.298843761832328	0.012554065	0.272918256	0.627333333	1.671333333	2.298666667	27.25	NA	8.62669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.163911643	87	36	0.389217	322	398	194	0	0.734	3.2	26.7	39.5	53	19	14.7	10.83121339	NA	0	9.57	0	91.97	51.31	0	0	29.36	0	0	0	0	460	NA	213	521	0.108	20.2402	155750	0.066458716	NA	1.811	0.15	0.131	0.17	1.06	0	0.1	0.2	7.9	65.5	0	14.6	37.3	174	39.1	126	34	200	0	1	7.8	6.6	14.5	100	0	10.1	15.85	19.4	26.7	0.087	16.24	1320	46.8	242	NA	416	134	375	372	4.9	75	1267	223	12.1	10.66
801	0.118676120185093	0.074848481	0.121413903	0.140333333	1.015666667	1.156	24.3	50.6004316612066	2.86039	NA	106.713376998819	12.3687310179729	33.5996298554888	610.992737274477	51.3802212542266	1.21531651006842	10.6756050140717	3.2869558962954	11.5336252596577	46.0411457201201	363.605386644312	2.92541620824431	NA	NA	37.5763643853279	0.999750592779751	NA	NA	1.977822698	38	38	0.443123	603	367	143	0	0.156	1	26.3	39.4	26	15	13.2	12.9621369	NA	0	0	0	0	19.79	0	0	0	0	0	0	0	597	NA	225	440	0.149	21.2421	72750	0.074403292	NA	1.808	0.19	0.118	0.15	1.16	0	0.09	0.1	2.8	68.3	0	13.5	33.5	203	40.4	113	34	117	0	0.3	5.4	5.5	15	390	0	9.75	15.85	19.4	27.5	0.092	8.91	1126	34.1	96	NA	419	78	302	424	4	32	1100	81	4.1	10.64
793	0.494066962087642	0.008761575	0.317004642	0.640666667	1.380333333	2.021	44.38	NA	24.0828	NA	182.167102850089	51.7882026399892	22.7270334525784	649.573740512315	66.0339102075728	1.12286809218375	9.40629144536448	2.28934271221929	14.0076886030592	21.0692207070594	326.711008297618	3.23960163165634	20.8166662332511	2.18668567790152	60.2560452672098	0.843059538468055	NA	NA	1.169661277	45	44	0.325941	378	295	176	0	3.016	0	0	35.1	0	19	12.6	53.84103414	NA	0	21.41	0	0	19.79	0	42.55	0	0	0	0	0	3085	NA	160	159	0.149	24.6612	22750	0.064150518	NA	2.847	0.22	0.187	0.14	2.01	0	0.1	0.19	0	0	0	14.9	35.9	0	41.6	66.53	0	134	0	0	0	6.2	15.2	206	0	8.45	15.76	18.7	27.9	0.141	6.26	803	42.7	246	NA	646	229	483	262	4.7	80	803	227	0	NA
779	0.345442876926714	0.006830317	0.25435893	0.593333333	1.739333333	2.332666667	41.45	NA	15.3406	0.950554270195549	138.749779008298	37.6953935684086	28.6399081818645	749.84411009714	131.413820376238	1.87220560749011	13.2275811065382	3.53511605872326	NA	40.0682535466411	647.491780977093	5.82972891166816	28.4806812936909	4.12864913102644	98.3031994252887	1.09864053147653	NA	0.71249414895988	0.663109744	45	31	0.36404	547	237	135	0	2.373	1.8	39.2	42.2	43	21	14.5	12.38070165	NA	0	0	45.7	0	664	0	61.46	0	0	0	12.59	0	883	NA	231	594	0.174	29.0679	48750	0.080940893	NA	3.355	0.32	0.195	0.21	2.29	0	0.09	0.25	2.5	54.2	88.55	14.5	34.4	182	42.3	78.17	59.36	126	240	0.3	6.6	5.7	14.4	436	89.25	9.99	15.84	18.2	27.8	0.104	15.08	791	32	112	NA	563	109	266	263	4.4	29	748	91	4.6	10.68
775	0.202892864226301	0.008054938	0.250511407	0.492333333	1.473	1.965333333	29.2	NA	6.12761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.86581724	112	35	0.612728	182	203	180	0	0.817	0	0	35.8	98	34	12.7	11.421227	NA	0	0	0	0	29.76	0	37.58	0	0	0	0	0	951	NA	113	687	0.15	24.0736	438	0.099212329	NA	2.897	0.3	0.127	0.21	1.94	0	0.13	0.19	0	0	0	14.4	35.5	0	40.8	45.73	0	0	0	0	0	5.9	13.5	227	0	8.78	15.82	18.6	27.3	0.104	0	734	45.1	118	NA	311	137	197	298	4.3	43	636	84	0	NA
774	0.221952417939931	0.023314689	0.196523507	0.410666667	1.679	2.089666667	29.76	8.41181018149482	7.15516	NA	143.043958056873	28.7678109728069	33.8124517631906	785.192748596452	75.8250774484609	1.62757156429491	17.2090132589773	6.42738787529706	15.4640023203487	64.5329361963537	371.65140729574	2.02133887823723	NA	2.5477436031917	67.9379872321812	1.08251470341686	1.16886718454456	0.911191380859503	2.227430273	52	41	0.352576	214	266	184	0	0.784	0	0	39	92	27	14.3	8.938531622	NA	0	0	0	0	40.33	198	0	0	0	0	0	194	568	NA	192	635	0.169	25.0822	2125	0.102486559	NA	3.05	0.25	0.16	0.18	2.07	0	0.1	0.29	0	0	22.48	14.8	36.7	0	40.3	70.86	39.4	113	0	0	0	5.9	13.3	159	0	9.66	15.8	18.5	26.9	0.104	4.9	827	48	98	NA	316	117	277	330	4.5	44	735	71	0	NA
773	0.151218749055561	0.012415444	0.225272806	0.435	1.496	1.931	27.38	NA	4.25305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.763636991	54	47	0.416672	198	163	176	0	0.333	0	0	35.6	85	35	12.7	6.518842809	NA	0	0	0	0	0	0	199	0	0	0	0	0	676	NA	224	1396	0.155	23.8721	2813	0.099926954	NA	2.736	0.19	0.176	0.18	1.89	0	0.11	0.19	0	0	0	14.5	35.8	150	40.4	112	0	103	0	0	0	6.4	12.4	58	0	8.79	15.85	18.4	27	0.136	8.91	717	38.7	125	NA	244	86	274	294	4	50	632	90	0	NA
772	0.187713628674942	0.010577727	0.234550422	0.451666667	1.474	1.925666667	28.88	NA	5.67964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.640500507	36	39	0.315931	152	213	165	0	0.494	0	0	36.4	90	26	12.9	10.78672425	NA	0	0	0	0	29.76	0	0	0	0	0	0	0	856	NA	128	987	0.155	24.5773	2625	0.097610803	NA	2.819	0.24	0.169	0.19	1.89	0	0.08	0.25	0	0	0	14.4	35.3	0	40.7	45.52	22.61	0	0	0	0	6	13.6	416	0	8.96	15.89	18.7	27.4	0.102	0	823	45.2	107	NA	381	101	249	353	4.5	42	733	81	0	NA
